Order_ID,Customer_Age,Order_Amount,Shipping_Cost,Delivery_Days,Items_Count,Customer_Rating,Payment_Method,City
ORD1001,56.0,300.45,49.51,5.0,1.0,2.1,Apple Pay,Jeddah
ORD1002,46.0,274.86,41.46,9.0,6.0,1.8,Card,Khobar
ORD1003,32.0,,67.81,4.0,7.0,4.5,Cash,Jeddah
ORD1004,60.0,221.2,36.13,10.0,7.0,4.0,Card,Riyadh
ORD1005,,411.83,18.12,5.0,1.0,1.2,Card,Dammam
ORD1006,38.0,352.62,34.59,9.0,5.0,2.1,Card,Khobar
ORD1007,56.0,205.84,23.44,8.0,6.0,1.1,Card,Dammam
ORD1008,36.0,1450.0,46.73,3.0,6.0,3.0,Cash,Riyadh
ORD1009,40.0,427.03,35.5,1.0,3.0,2.9,Card,Riyadh
ORD1010,28.0,407.52,33.35,3.0,8.0,,Cash,Riyadh
ORD1011,28.0,484.5,33.51,4.0,7.0,2.2,Cash,Dammam
ORD1012,41.0,357.2,,2.0,1.0,4.3,Apple Pay,Dammam
ORD1013,53.0,690.95,29.57,1.0,3.0,4.9,Cash,Dammam
ORD1014,57.0,218.76,44.32,7.0,4.0,1.4,Apple Pay,Dammam
ORD1015,41.0,276.15,47.55,8.0,2.0,4.2,Cash,Riyadh
ORD1016,20.0,313.3,30.89,,8.0,3.4,Cash,Riyadh
ORD1017,39.0,163.94,23.89,5.0,8.0,2.9,Cash,Khobar
ORD1018,19.0,434.67,28.84,1.0,8.0,2.7,Apple Pay,Khobar
ORD1019,41.0,,43.52,7.0,6.0,4.1,Apple Pay,Dammam
ORD1020,61.0,322.09,36.11,7.0,4.0,3.6,Card,Jeddah
ORD1021,47.0,261.21,42.56,9.0,8.0,4.2,Apple Pay,Jeddah
ORD1022,55.0,155.54,56.16,3.0,4.0,4.6,Apple Pay,Riyadh
ORD1023,19.0,233.18,180.0,9.0,5.0,3.5,Apple Pay,Riyadh
ORD1024,38.0,401.81,25.29,1.0,8.0,4.9,Apple Pay,Riyadh
ORD1025,50.0,296.66,47.69,1.0,2.0,3.4,,Khobar
ORD1026,29.0,273.04,35.62,4.0,4.0,3.5,Apple Pay,Khobar
ORD1027,39.0,375.16,45.47,9.0,4.0,3.2,Cash,Riyadh
ORD1028,,447.4,47.79,6.0,2.0,1.4,Cash,Riyadh
ORD1029,42.0,348.28,23.49,3.0,8.0,3.9,Apple Pay,Riyadh
ORD1030,44.0,354.6,51.58,1.0,2.0,3.2,Apple Pay,Jeddah
ORD1031,59.0,470.9,45.86,4.0,4.0,2.8,Cash,Khobar
ORD1032,45.0,339.31,27.75,9.0,2.0,,Cash,Jeddah
ORD1033,33.0,285.98,38.65,3.0,4.0,2.2,Card,Jeddah
ORD1034,32.0,394.04,38.09,9.0,4.0,3.1,Cash,Riyadh
ORD1035,64.0,291.77,35.29,7.0,5.0,3.8,Cash,Riyadh
ORD1036,61.0,279.54,45.46,25.0,1.0,4.2,Apple Pay,Dammam
